Id,Class
114,tensor(0, device='cuda:0')
115,tensor(8, device='cuda:0')
116,tensor(0, device='cuda:0')
117,tensor(8, device='cuda:0')
118,tensor(7, device='cuda:0')
119,tensor(4, device='cuda:0')
120,tensor(7, device='cuda:0')
121,tensor(1, device='cuda:0')
122,tensor(1, device='cuda:0')
123,tensor(3, device='cuda:0')
124,tensor(1, device='cuda:0')
125,tensor(9, device='cuda:0')
126,tensor(5, device='cuda:0')
127,tensor(1, device='cuda:0')
128,tensor(8, device='cuda:0')
129,tensor(9, device='cuda:0')
130,tensor(1, device='cuda:0')
131,tensor(8, device='cuda:0')
132,tensor(2, device='cuda:0')
133,tensor(6, device='cuda:0')
134,tensor(6, device='cuda:0')
135,tensor(8, device='cuda:0')
136,tensor(7, device='cuda:0')
137,tensor(2, device='cuda:0')
138,tensor(5, device='cuda:0')
139,tensor(3, device='cuda:0')
140,tensor(4, device='cuda:0')
141,tensor(1, device='cuda:0')
142,tensor(2, device='cuda:0')
143,tensor(4, device='cuda:0')
144,tensor(2, device='cuda:0')
145,tensor(5, device='cuda:0')
146,tensor(3, device='cuda:0')
147,tensor(5, device='cuda:0')
148,tensor(3, device='cuda:0')
149,tensor(8, device='cuda:0')
150,tensor(4, device='cuda:0')
151,tensor(5, device='cuda:0')
152,tensor(5, device='cuda:0')
153,tensor(6, device='cuda:0')
154,tensor(3, device='cuda:0')
155,tensor(7, device='cuda:0')
156,tensor(2, device='cuda:0')
157,tensor(0, device='cuda:0')
158,tensor(9, device='cuda:0')
159,tensor(7, device='cuda:0')
160,tensor(4, device='cuda:0')
161,tensor(7, device='cuda:0')
162,tensor(8, device='cuda:0')
163,tensor(0, device='cuda:0')
164,tensor(2, device='cuda:0')
165,tensor(8, device='cuda:0')
166,tensor(2, device='cuda:0')
167,tensor(8, device='cuda:0')
168,tensor(3, device='cuda:0')
169,tensor(8, device='cuda:0')
170,tensor(9, device='cuda:0')
171,tensor(8, device='cuda:0')
172,tensor(3, device='cuda:0')
173,tensor(7, device='cuda:0')
174,tensor(4, device='cuda:0')
175,tensor(1, device='cuda:0')
176,tensor(2, device='cuda:0')
177,tensor(6, device='cuda:0')
178,tensor(4, device='cuda:0')
179,tensor(8, device='cuda:0')
180,tensor(6, device='cuda:0')
181,tensor(2, device='cuda:0')
182,tensor(1, device='cuda:0')
183,tensor(4, device='cuda:0')
184,tensor(0, device='cuda:0')
185,tensor(1, device='cuda:0')
186,tensor(4, device='cuda:0')
187,tensor(1, device='cuda:0')
188,tensor(9, device='cuda:0')
189,tensor(3, device='cuda:0')
190,tensor(4, device='cuda:0')
191,tensor(6, device='cuda:0')
192,tensor(0, device='cuda:0')
193,tensor(7, device='cuda:0')
194,tensor(8, device='cuda:0')
195,tensor(0, device='cuda:0')
196,tensor(4, device='cuda:0')
197,tensor(3, device='cuda:0')
198,tensor(6, device='cuda:0')
199,tensor(6, device='cuda:0')
200,tensor(3, device='cuda:0')
201,tensor(0, device='cuda:0')
202,tensor(9, device='cuda:0')
203,tensor(7, device='cuda:0')
204,tensor(4, device='cuda:0')
205,tensor(4, device='cuda:0')
206,tensor(2, device='cuda:0')
207,tensor(6, device='cuda:0')
208,tensor(4, device='cuda:0')
209,tensor(8, device='cuda:0')
210,tensor(2, device='cuda:0')
211,tensor(3, device='cuda:0')
212,tensor(1, device='cuda:0')
213,tensor(9, device='cuda:0')
214,tensor(2, device='cuda:0')
215,tensor(4, device='cuda:0')
216,tensor(6, device='cuda:0')
217,tensor(4, device='cuda:0')
218,tensor(5, device='cuda:0')
219,tensor(2, device='cuda:0')
220,tensor(0, device='cuda:0')
221,tensor(7, device='cuda:0')
222,tensor(4, device='cuda:0')
223,tensor(8, device='cuda:0')
224,tensor(5, device='cuda:0')
225,tensor(3, device='cuda:0')
226,tensor(8, device='cuda:0')
227,tensor(9, device='cuda:0')
228,tensor(5, device='cuda:0')
229,tensor(9, device='cuda:0')
230,tensor(8, device='cuda:0')
231,tensor(5, device='cuda:0')
232,tensor(5, device='cuda:0')
233,tensor(1, device='cuda:0')
234,tensor(6, device='cuda:0')
235,tensor(1, device='cuda:0')
236,tensor(3, device='cuda:0')
237,tensor(9, device='cuda:0')
238,tensor(7, device='cuda:0')
239,tensor(0, device='cuda:0')
240,tensor(7, device='cuda:0')
241,tensor(5, device='cuda:0')
242,tensor(3, device='cuda:0')
243,tensor(7, device='cuda:0')
244,tensor(4, device='cuda:0')
245,tensor(2, device='cuda:0')
246,tensor(9, device='cuda:0')
247,tensor(4, device='cuda:0')
248,tensor(0, device='cuda:0')
249,tensor(0, device='cuda:0')
250,tensor(2, device='cuda:0')
251,tensor(7, device='cuda:0')
252,tensor(7, device='cuda:0')
253,tensor(4, device='cuda:0')
254,tensor(4, device='cuda:0')
255,tensor(0, device='cuda:0')
256,tensor(2, device='cuda:0')
257,tensor(5, device='cuda:0')
258,tensor(4, device='cuda:0')
259,tensor(2, device='cuda:0')
260,tensor(2, device='cuda:0')
261,tensor(2, device='cuda:0')
262,tensor(5, device='cuda:0')
263,tensor(6, device='cuda:0')
264,tensor(1, device='cuda:0')
265,tensor(1, device='cuda:0')
266,tensor(2, device='cuda:0')
267,tensor(1, device='cuda:0')
268,tensor(4, device='cuda:0')
269,tensor(8, device='cuda:0')
270,tensor(4, device='cuda:0')
271,tensor(1, device='cuda:0')
272,tensor(1, device='cuda:0')
273,tensor(3, device='cuda:0')
274,tensor(9, device='cuda:0')
275,tensor(6, device='cuda:0')
276,tensor(6, device='cuda:0')
277,tensor(3, device='cuda:0')
278,tensor(9, device='cuda:0')
279,tensor(6, device='cuda:0')
280,tensor(0, device='cuda:0')
281,tensor(0, device='cuda:0')
282,tensor(9, device='cuda:0')
283,tensor(5, device='cuda:0')
284,tensor(8, device='cuda:0')
285,tensor(5, device='cuda:0')
286,tensor(9, device='cuda:0')
287,tensor(4, device='cuda:0')
288,tensor(0, device='cuda:0')
289,tensor(7, device='cuda:0')
290,tensor(3, device='cuda:0')
291,tensor(6, device='cuda:0')
292,tensor(2, device='cuda:0')
293,tensor(6, device='cuda:0')
294,tensor(1, device='cuda:0')
295,tensor(7, device='cuda:0')
296,tensor(9, device='cuda:0')
297,tensor(8, device='cuda:0')
298,tensor(9, device='cuda:0')
299,tensor(0, device='cuda:0')
300,tensor(7, device='cuda:0')
301,tensor(3, device='cuda:0')
302,tensor(7, device='cuda:0')
303,tensor(9, device='cuda:0')
304,tensor(8, device='cuda:0')
305,tensor(0, device='cuda:0')
306,tensor(2, device='cuda:0')
307,tensor(3, device='cuda:0')
308,tensor(1, device='cuda:0')
309,tensor(5, device='cuda:0')
310,tensor(1, device='cuda:0')
311,tensor(0, device='cuda:0')
312,tensor(0, device='cuda:0')
313,tensor(1, device='cuda:0')
314,tensor(3, device='cuda:0')
315,tensor(3, device='cuda:0')
316,tensor(3, device='cuda:0')
317,tensor(6, device='cuda:0')
318,tensor(2, device='cuda:0')
319,tensor(4, device='cuda:0')
320,tensor(6, device='cuda:0')
321,tensor(3, device='cuda:0')
322,tensor(1, device='cuda:0')
323,tensor(9, device='cuda:0')
324,tensor(4, device='cuda:0')
325,tensor(5, device='cuda:0')
326,tensor(8, device='cuda:0')
327,tensor(2, device='cuda:0')
328,tensor(8, device='cuda:0')
329,tensor(1, device='cuda:0')
330,tensor(6, device='cuda:0')
331,tensor(0, device='cuda:0')
332,tensor(9, device='cuda:0')
333,tensor(5, device='cuda:0')
334,tensor(9, device='cuda:0')
335,tensor(8, device='cuda:0')
336,tensor(8, device='cuda:0')
337,tensor(6, device='cuda:0')
338,tensor(0, device='cuda:0')
339,tensor(9, device='cuda:0')
340,tensor(3, device='cuda:0')
341,tensor(6, device='cuda:0')
342,tensor(8, device='cuda:0')
343,tensor(6, device='cuda:0')
344,tensor(5, device='cuda:0')
345,tensor(7, device='cuda:0')
346,tensor(1, device='cuda:0')
347,tensor(2, device='cuda:0')
348,tensor(9, device='cuda:0')
349,tensor(5, device='cuda:0')
350,tensor(3, device='cuda:0')
351,tensor(8, device='cuda:0')
352,tensor(6, device='cuda:0')
353,tensor(3, device='cuda:0')
354,tensor(1, device='cuda:0')
355,tensor(0, device='cuda:0')
356,tensor(1, device='cuda:0')
357,tensor(1, device='cuda:0')
358,tensor(6, device='cuda:0')
359,tensor(7, device='cuda:0')
360,tensor(7, device='cuda:0')
361,tensor(7, device='cuda:0')
362,tensor(5, device='cuda:0')
363,tensor(1, device='cuda:0')
364,tensor(4, device='cuda:0')
365,tensor(5, device='cuda:0')
366,tensor(5, device='cuda:0')
367,tensor(2, device='cuda:0')
368,tensor(3, device='cuda:0')
369,tensor(2, device='cuda:0')
370,tensor(5, device='cuda:0')
371,tensor(3, device='cuda:0')
372,tensor(7, device='cuda:0')
373,tensor(9, device='cuda:0')
374,tensor(8, device='cuda:0')
375,tensor(3, device='cuda:0')
376,tensor(1, device='cuda:0')
377,tensor(6, device='cuda:0')
378,tensor(4, device='cuda:0')
379,tensor(0, device='cuda:0')
380,tensor(6, device='cuda:0')
381,tensor(2, device='cuda:0')
382,tensor(7, device='cuda:0')
383,tensor(8, device='cuda:0')
384,tensor(9, device='cuda:0')
385,tensor(1, device='cuda:0')
386,tensor(1, device='cuda:0')
387,tensor(1, device='cuda:0')
388,tensor(6, device='cuda:0')
389,tensor(6, device='cuda:0')
390,tensor(4, device='cuda:0')
391,tensor(6, device='cuda:0')
392,tensor(0, device='cuda:0')
393,tensor(9, device='cuda:0')
394,tensor(5, device='cuda:0')
395,tensor(7, device='cuda:0')
396,tensor(5, device='cuda:0')
397,tensor(2, device='cuda:0')
398,tensor(1, device='cuda:0')
399,tensor(8, device='cuda:0')
400,tensor(3, device='cuda:0')
401,tensor(9, device='cuda:0')
402,tensor(9, device='cuda:0')
403,tensor(0, device='cuda:0')
404,tensor(1, device='cuda:0')
405,tensor(3, device='cuda:0')
406,tensor(4, device='cuda:0')
407,tensor(0, device='cuda:0')
408,tensor(5, device='cuda:0')
409,tensor(5, device='cuda:0')
410,tensor(2, device='cuda:0')
411,tensor(9, device='cuda:0')
412,tensor(8, device='cuda:0')
413,tensor(3, device='cuda:0')
414,tensor(1, device='cuda:0')
415,tensor(8, device='cuda:0')
416,tensor(7, device='cuda:0')
417,tensor(6, device='cuda:0')
418,tensor(9, device='cuda:0')
419,tensor(6, device='cuda:0')
420,tensor(3, device='cuda:0')
421,tensor(0, device='cuda:0')
422,tensor(0, device='cuda:0')
423,tensor(2, device='cuda:0')
424,tensor(1, device='cuda:0')
425,tensor(1, device='cuda:0')
426,tensor(2, device='cuda:0')
427,tensor(2, device='cuda:0')
428,tensor(7, device='cuda:0')
429,tensor(2, device='cuda:0')
430,tensor(2, device='cuda:0')
431,tensor(3, device='cuda:0')
432,tensor(6, device='cuda:0')
433,tensor(7, device='cuda:0')
434,tensor(6, device='cuda:0')
435,tensor(2, device='cuda:0')
436,tensor(2, device='cuda:0')
437,tensor(1, device='cuda:0')
438,tensor(6, device='cuda:0')
439,tensor(8, device='cuda:0')
440,tensor(9, device='cuda:0')
441,tensor(3, device='cuda:0')
442,tensor(9, device='cuda:0')
443,tensor(5, device='cuda:0')
444,tensor(7, device='cuda:0')
445,tensor(3, device='cuda:0')
446,tensor(7, device='cuda:0')
447,tensor(6, device='cuda:0')
448,tensor(0, device='cuda:0')
449,tensor(3, device='cuda:0')
450,tensor(0, device='cuda:0')
451,tensor(7, device='cuda:0')
452,tensor(8, device='cuda:0')
453,tensor(2, device='cuda:0')
454,tensor(0, device='cuda:0')
455,tensor(8, device='cuda:0')
456,tensor(7, device='cuda:0')
457,tensor(4, device='cuda:0')
458,tensor(4, device='cuda:0')
459,tensor(2, device='cuda:0')
460,tensor(6, device='cuda:0')
461,tensor(2, device='cuda:0')
462,tensor(4, device='cuda:0')
463,tensor(0, device='cuda:0')
464,tensor(8, device='cuda:0')
465,tensor(2, device='cuda:0')
466,tensor(1, device='cuda:0')
467,tensor(3, device='cuda:0')
468,tensor(0, device='cuda:0')
469,tensor(9, device='cuda:0')
470,tensor(7, device='cuda:0')
471,tensor(3, device='cuda:0')
472,tensor(0, device='cuda:0')
473,tensor(2, device='cuda:0')
474,tensor(2, device='cuda:0')
475,tensor(5, device='cuda:0')
476,tensor(7, device='cuda:0')
477,tensor(5, device='cuda:0')
478,tensor(2, device='cuda:0')
479,tensor(4, device='cuda:0')
480,tensor(3, device='cuda:0')
481,tensor(8, device='cuda:0')
482,tensor(2, device='cuda:0')
483,tensor(5, device='cuda:0')
484,tensor(7, device='cuda:0')
485,tensor(9, device='cuda:0')
486,tensor(5, device='cuda:0')
487,tensor(4, device='cuda:0')
488,tensor(6, device='cuda:0')
489,tensor(6, device='cuda:0')
490,tensor(2, device='cuda:0')
491,tensor(9, device='cuda:0')
492,tensor(0, device='cuda:0')
493,tensor(2, device='cuda:0')
494,tensor(3, device='cuda:0')
495,tensor(4, device='cuda:0')
496,tensor(8, device='cuda:0')
497,tensor(7, device='cuda:0')
498,tensor(5, device='cuda:0')
499,tensor(8, device='cuda:0')
